Shows Name,Release Year,Episodes,Rating,Rating given by people
Mr,1990–1995,15 eps,8.6, (139K)
The Offer,2022,10 eps,8.6, (43K)
The Return of Sherlock Holmes,1986–1988,13 eps,8.7, (14K)
Crash Landing on You,2019–2020,19 eps,8.7, (47K)
Scavengers Reign,2023,12 eps,8.6, (25K)
Gomorrah,2014–2021,58 eps,8.6, (46K)
Pose,2018–2021,26 eps,8.6, (34K)
Yes Minister,1980–1984,22 eps,8.6, (17K)
Fighting Spirit,2000–2002,76 eps,8.8, (12K)
Blackadder the Third,1987,6 eps,8.6, (48K)
Mystery Science Theater 3000,1988–1999,199 eps,8.6, (27K)
Anne with an E,2017–2019,27 eps,8.6, (71K)
Archer,2009–2023,144 eps,8.6, (169K)
Greatest Events of WWII in Colour,2019,10 eps,8.6, (12K)
Critical Role,2015–,432 eps,9.1, (14K)
The Newsroom,2012–2014,25 eps,8.6, (128K)
Dopesick,2021,8 eps,8.6, (83K)
Demon Slayer: Kimetsu no Yaiba,2019–,69 eps,8.6, (172K)
Young Justice,2010–2022,99 eps,8.6, (47K)
Yeh Meri Family,2018–,22 eps,8.9, (27K)
Boardwalk Empire,2010–2014,56 eps,8.6, (208K)
QI,2003–,350 eps,8.6, (34K)
Homicide: Life on the Street,1993–1999,122 eps,8.7, (15K)
El Chavo del Ocho,1972–1983,357 eps,8.7, (14K)
Justified,2010–2015,78 eps,8.6, (122K)
The Bureau,2015–2020,50 eps,8.7, (15K)
The Bugs Bunny Show,1960–1975,78 eps,8.6, (36K)
Yellowstone,2018–,53 eps,8.7, (244K)
What We Do in the Shadows,2019–2024,61 eps,8.6, (112K)
The Haunting of Hill House,2018,10 eps,8.5, (302K)
The Family Man,2019–,20 eps,8.7, (102K)
Dragon Ball,1986–1989,153 eps,8.5, (70K)
Justice League,2001–2004,52 eps,8.5, (53K)
Battlestar Galactica,2003,2 eps,8.5, (82K)
Dragon Ball,1995–2003,153 eps,8.5, (67K)
The Venture Bros.,2003–2018,86 eps,8.6, (29K)
The Bear,2022–,29 eps,8.6, (255K)
Endeavour,2012–2023,36 eps,8.6, (35K)
"Yes, Prime Minister",1986–1987,16 eps,8.6, (13K)
Flight of the Conchords,2007–2009,22 eps,8.5, (67K)
The Queen's Gambit,2020,7 eps,8.5, (589K)
Rocket Boys,2022–,16 eps,8.9, (19K)
Samurai Champloo,2004–2005,26 eps,8.5, (58K)
Coupling,2000–2004,28 eps,8.5, (49K)
Making a Murderer,2015–2018,20 eps,8.5, (105K)
The IT Crowd,2006–2013,26 eps,8.5, (168K)
Ezel,2009–2011,71 eps,8.7, (39K)
Mr,2015–2019,45 eps,8.5, (431K)
Jujutsu Kaisen,2020–,48 eps,8.5, (137K)
Black Sun,2017–2020,20 eps,8.8, (13K)
Impractical Jokers,2011–,300 eps,8.6, (48K)
I'm Alan Partridge,1997–2002,12 eps,8.6, (23K)
Samurai Jack,2001–2017,62 eps,8.5, (62K)
Detectorists,2014–2022,20 eps,8.6, (23K)
Spaced,1999–2001,14 eps,8.5, (59K)
Happy Valley,2014–2023,18 eps,8.5, (67K)
Long Way Round,2004–2010,10 eps,8.6, (16K)
The Eric Andre Show,2012–,68 eps,8.6, (23K)
Mob Psycho 100,2016–2022,37 eps,8.5, (51K)
Spartacus,2010–2013,33 eps,8.5, (262K)
Whose Line Is It Anyway?,1998–2007,220 eps,8.5, (47K)
Louie,2010–2015,61 eps,8.5, (83K)
Sons of Anarchy,2008–2014,92 eps,8.6, (333K)
Regular Show,2010–2017,244 eps,8.5, (63K)
Through the Wormhole,2010–2017,62 eps,8.6, (19K)
The Office,2001–2003,14 eps,8.5, (126K)
Derry Girls,2018–2022,19 eps,8.5, (65K)
Twin Peaks,2017,18 eps,8.5, (79K)
Neon Genesis Evangelion,1995–1996,26 eps,8.5, (92K)
Trailer Park Boys,2001–2018,106 eps,8.5, (53K)
Formula 1: Drive to Survive,2019–,60 eps,8.5, (53K)
Schitt's Creek,2015–2020,80 eps,8.5, (154K)
Spartacus: Gods of the Arena,2011,6 eps,8.5, (148K)
Brass Eye,1997–2001,7 eps,8.6, (12K)
Shameless,2011–2021,134 eps,8.5, (301K)
Skam,2015–2017,43 eps,8.6, (40K)
Silicon Valley,2014–2019,53 eps,8.5, (171K)
My Brilliant Friend,2018–2024,34 eps,8.6, (20K)
North & South,2004,4 eps,8.6, (36K)
Futurama,1999–,180 eps,8.5, (267K)
Rurouni Kenshin: Trust and Betrayal,1999,4 eps,8.6, (17K)
Fullmetal Alchemist,2003–2004,51 eps,8.5, (80K)
The Expanse,2015–2022,62 eps,8.5, (178K)
Alchemy of Souls,2022–,30 eps,8.7, (20K)
Doctor Who,2005–2022,175 eps,8.5, (253K)
Hannibal,2013–2015,39 eps,8.5, (285K)
Extraordinary Attorney Woo,2022,16 eps,8.6, (30K)
Avrupa Yakasi,2004–2009,190 eps,8.6, (22K)
From the Earth to the Moon,1998,12 eps,8.6, (14K)
Wentworth,2013–2021,100 eps,8.6, (25K)
Letterkenny,2016–2023,81 eps,8.6, (31K)
Your Lie in April,2014–2015,24 eps,8.5, (41K)
Umbre,2014–2019,21 eps,8.7, (12K)
Foyle's War,2002–2015,28 eps,8.6, (19K)
Gintama,2005–2021,375 eps,8.7, (17K)
The Great British Baking Show,2010–,189 eps,8.6, (13K)
Community,2009–2015,110 eps,8.5, (300K)
